,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_wins,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_wins,pace,winner,winning_abbr
201810170NYK,46.3,19,4.5,3,111,79.2,38,0.511,90,0.456,41,0.2,18,0.833,15,1,240,94.3,16.3,7,30,107,6.2,7,0.4,36,0.278,10,49.5,45,0.546,19.7,24,54,0.574,31,0,46.7,21,11.1,6,94.3,83.7,36,0.515,99,0.455,45,0.313,31,24,0,240,111,20.8,10,23,126,10.6,12,0.333,33,12,50.5,46,0.559,11.8,15,66,0.5,33,0,113.5,Home,NYK
201810190MEM,56.1,23,6.8,4,117.3,79.9,33.5,0.5445,86.5,0.475,41,0.317,27,0.708,18,1.5,240,102.35,20.35,9,30.5,112,7.35,8,0.3805,33,0.3725,12,49.45,42.5,0.569,17.9,21.5,53.5,0.5415,29,0,59.7,26.5,9.3,5,102.35,79.65,35,0.569,90,0.499,44.5,0.422,37,27,0,240,117.3,20.1,8.5,26,128.5,9.55,10.5,0.327,29.5,12.5,50.55,43.5,0.6075,12.8,15.5,60.5,0.532,32,0,109.75,Home,MEM
201810210CLE,59.63333333,26,7.766666667,5,113.1,76.6,34,0.5636666667,90.33333333,0.48,43.33333333,0.276,24.33333333,0.735,17,1.666666667,240,110.0666667,20.53333333,9,27.33333333,119,7.733333333,8.333333333,0.4136666667,37.66666667,0.4043333333,15.33333333,48.73333333,43,0.5876666667,15.3,18.33333333,52.66666667,0.531,28,0.3333333333,56.46666667,25.33333333,7.5,4,110.0666667,79.46666667,34.66666667,0.551,93,0.4876666667,45,0.3283333333,29.33333333,21,0,240,113.1,23.4,10.66666667,25.66666667,122.6666667,7.933333333,8.666666667,0.309,28.66666667,11.66666667,51.26666667,45.33333333,0.581,13.4,16.33333333,64.33333333,0.5213333333,33.33333333,0,108.5,Away,ATL
201810240ATL,61.175,25.75,10.075,6,110.5,77.725,36.25,0.54375,90.5,0.4645,42,0.2785,24.75,0.705,16.75,1.75,240,106.6,19.65,9,27.25,115.25,7.425,8,0.42025,38.25,0.37825,14.5,48.825,45.25,0.56775,15.025,18,52.25,0.52575,27.5,0.75,61.275,26,8.575,4.5,106.6,80.35,37,0.5355,92.5,0.4675,43,0.3315,29.75,21.25,0,240,110.5,22.275,10.5,25.75,119.75,7.325,8,0.33625,31,12.5,51.175,47.5,0.56825,13.175,16,61.5,0.49475,30.5,0,108.4,Home,ATL
201810270ATL,62.82,25.6,10.78,6,105.12,78.18,37.8,0.5362,89,0.4584,40.8,0.2614,23,0.7266,16,2.2,240,104.34,19.28,8.8,26,111.6,8.7,9.2,0.4158,37.2,0.3754,14,49.46,46.6,0.562,15.66,18.4,51.8,0.5166,26.8,1,63.84,24.8,10.06,5.2,104.34,80.72,37,0.507,90.8,0.4382,39.8,0.32,28.4,20.8,0,240,105.12,21.82,10.6,23.2,112.8,7.62,8.2,0.3642,32.8,12.4,50.54,47.6,0.545,14.32,17.2,58,0.464,27.4,0,107.06,Away,CHI
201810290PHI,61.86666667,24.66666667,9.95,5.5,105.45,76.78333333,37.66666667,0.516,89.83333333,0.444,39.83333333,0.255,22.66666667,0.7166666667,15.66666667,2.5,240,101.4833333,18.93333333,9,24.66666667,108.3333333,8.833333333,9.333333333,0.4121666667,37.16666667,0.3488333333,13,48.26666667,46.66666667,0.5426666667,14.91666667,17.5,52.66666667,0.5095,26.83333333,1.166666667,66.61666667,26.16666667,11.01666667,5.833333333,101.4833333,81.06666667,38.83333333,0.5033333333,92.16666667,0.4341666667,40,0.297,26.66666667,20.16666667,0.3333333333,240,105.45,23.21666667,11.5,23,112.8333333,7.45,8,0.3826666667,35.16666667,12.66666667,51.73333333,50.33333333,0.5421666667,14.45,17.5,57,0.4731666667,27.33333333,12.66666667,106.8,Home,PHI
201810300CLE,61.14285714,24.71428571,10.28571429,5.857142857,108.7571429,76.05714286,37,0.532,88.71428571,0.4572857143,40.42857143,0.2481428571,21.85714286,0.7067142857,15,2.857142857,240,102.3857143,18.31428571,8.571428571,25.28571429,109.1428571,8.385714286,8.857142857,0.4142857143,36.85714286,0.3602857143,13.28571429,47.77142857,45.57142857,0.5561428571,15.6,18.14285714,51.85714286,0.5248571429,27.14285714,1.285714286,64.4,25.71428571,9.742857143,5.142857143,102.3857143,81.68571429,38.28571429,0.5131428571,91.85714286,0.4435714286,40.71428571,0.3228571429,29,22,0.2857142857,240,108.7571429,23.94285714,11.71428571,22.57142857,116.1428571,8.142857143,8.714285714,0.3677142857,33.71428571,12.71428571,52.22857143,50,0.5538571429,13.91428571,16.85714286,58.14285714,0.4758571429,28,10.85714286,106.6428571,Home,CLE
201811010ATL,62.4625,26.375,9.675,5.5,107.9,76.3375,36.875,0.542,89.875,0.46775,42,0.258,23.125,0.72,16.375,2.875,240,105.7625,18.9375,8.75,25.75,113.75,8.8875,9.5,0.407125,36.625,0.36525,13.375,48.2625,45.625,0.568,15.0375,17.625,53.25,0.536625,28.625,1.875,64.0875,25.75,9.7125,5.25,105.7625,81.0625,37.625,0.515125,91.25,0.4485,40.875,0.331375,29.625,22.125,0.25,240,107.9,23.6625,11.5,23.25,116,7.7875,8.375,0.36625,33.375,12.125,51.7375,49.125,0.555125,14.3875,17.5,57.875,0.49225,28.75,9.5,107.425,Away,SAC
201811030ATL,62.84444444,26.44444444,9.788888889,5.555555556,109.5111111,76.5,35.88888889,0.5457777778,89.33333333,0.4693333333,41.88888889,0.2633333333,23.44444444,0.7254444444,16.77777778,3.111111111,240,107.0555556,20.27777778,9.222222222,25.11111111,114.2222222,8.566666667,9.111111111,0.4142222222,37,0.3691111111,13.66666667,48.74444444,45.11111111,0.5728888889,15.03333333,17.55555556,52.33333333,0.5387777778,28.22222222,2,64.93333333,26.55555556,10.36666667,5.444444444,107.0555556,79.72222222,36.66666667,0.5242222222,90.88888889,0.4567777778,41.44444444,0.3235555556,28.88888889,21.66666667,0.2222222222,240,109.5111111,23.5,11.11111111,23,116.7777778,8.133333333,8.666666667,0.366,33.22222222,12.22222222,51.25555556,47.77777778,0.5631111111,14.34444444,17.33333333,57.66666667,0.503,29.22222222,8.444444444,106.6555556,Home,ATL
201811060CHO,61.93,26,10.29,5.9,109.02,76.74,35.3,0.543,88.9,0.4706,41.8,0.2582,22.9,0.7307,16.5,3.5,240,105.8,19.92,9,24.4,113,8.91,9.5,0.4081,36.3,0.3522,12.9,48.5,44.3,0.5705,15.44,18,52.6,0.5485,28.9,2.1,64.44,26.6,10.06,5.3,105.8,80.08,36.5,0.5278,91,0.46,41.8,0.3108,27.8,20.5,0.2,240,109.02,23.26,10.8,22.3,116.4,8.15,8.7,0.3631,33,12.3,51.51,47.3,0.5633,14.65,17.7,58,0.5052,29.5,7.6,106.79,Home,CHO
