,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_wins,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_wins,pace,winner,winning_abbr
201710180DAL,41.7,20,14.6,6,112.6,80,36,0.559,94,0.511,48,0.16,15,0.8,12,0,240,118.7,30.4,14,18,117,11.2,11,0.191,18,0.5,9,54.9,50,0.582,11.4,13,76,0.513,39,1,71.1,27,5.3,4,118.7,69.6,32,0.541,86,0.442,38,0.244,21,18,0,240,112.6,20,9,19,111,5.1,5,0.523,45,17,45.1,41,0.583,13.6,15,41,0.512,21,0,98.6,Away,ATL
201710200CHO,47.25,19.5,11.3,5,108,76.35,34,0.4875,94.5,0.445,42,0.1535,14.5,0.8285,12,0.5,240,102.5,21.1,10,23.5,104,10.8,11,0.2535,24,0.3665,8,47.45,44,0.516,11.4,13,70.5,0.4795,34,1,58.5,22,5.75,4,102.5,78.9,38.5,0.5175,86,0.436,37.5,0.2965,25.5,21,0,240,108,23.65,10.5,18.5,110,4.9,5,0.471,40.5,14,52.55,49,0.566,15.55,18,45.5,0.516,23.5,0,102,Home,CHO
201710220BRK,53.36666667,20,8.633333333,4,108.9666667,74.6,33.33333333,0.451,94.33333333,0.41,38.66666667,0.23,21.66666667,0.858,19,1,240,101.5,23.93333333,12,24,104,9.1,9.333333333,0.2646666667,25,0.3306666667,7.666666667,47.8,45.33333333,0.5016666667,11.83333333,14,69.33333333,0.444,31,1,60.96666667,23.66666667,7.8,5.333333333,101.5,76.06666667,38.33333333,0.523,86.33333333,0.4476666667,38.66666667,0.328,28.33333333,21.66666667,0,240,108.9666667,25.4,11.33333333,21.33333333,112,7.1,7.333333333,0.4173333333,36,13,52.2,49.66666667,0.567,15.36666667,18,50.33333333,0.5106666667,25.66666667,0,102.8666667,Home,BRK
201710230MIA,49.75,18.5,7,3.25,108.175,75.4,33.75,0.46825,89.75,0.426,38,0.23175,20.75,0.838,17.75,1.5,240,99.775,22,10.5,22.25,101.25,9.125,9.25,0.2545,23,0.351,7.5,48.35,44.25,0.51475,13.675,15.5,66.75,0.456,30.5,1,59.175,23,8.4,5.5,99.775,78,36.5,0.5275,86,0.4505,38.75,0.299,25.75,19.25,0,240,108.175,24.6,11,20.75,110,8.375,8.5,0.42175,36.25,13.25,51.65,47.5,0.56525,15.775,18.25,49.75,0.51325,25.5,0,101.725,Home,MIA
201710260CHI,53.56,19.2,7.46,3.6,106.9,73.26,33.6,0.4672,88,0.4198,36.8,0.2174,19.2,0.8396,16.4,2,240,99.06,20.34,9.8,22.4,98.2,9.54,9.4,0.2728,24,0.3594,8.2,46.52,43.4,0.511,13,14.4,64,0.444,28.6,1,60.24,22.4,8.22,5.2,99.06,79.66,38,0.5022,86,0.4324,37.2,0.3066,26.4,19.8,0,240,106.9,26.74,12.4,19.6,106.2,7.82,7.8,0.4118,35.4,12,53.48,50.4,0.5444,14.94,17.2,50.6,0.4994,25.2,0,99.26,Home,CHI
201710270ATL,57.12,20.2,5.96,3.2,105.4,72.48,33.4,0.4522,87.4,0.41,35.6,0.236,20.8,0.8274,17.4,2.6,240,97.4,19.38,9.2,21.2,95.8,8.98,8.8,0.2786,24.4,0.2994,7.2,45.88,42.6,0.4984,12.68,14,63,0.4484,28.4,1.2,58.46,21.6,8.28,5.2,97.4,80.62,38,0.4928,86.6,0.4272,37,0.2848,24.6,18.6,0,240,105.4,27.52,12.8,20,104,8.28,8.2,0.3814,33,11.4,54.12,50.8,0.5338,14.48,16.6,53.6,0.4792,25.6,0,98.56,Away,DEN
201710290ATL,60.2,22.4,5.62,3,106.18,76.48,34.6,0.4936,84.6,0.4428,37.2,0.2584,22.2,0.8084,18.2,2.8,240,103.82,20.06,9,20.8,101,8.72,8.4,0.2796,23.6,0.3528,8.4,49.5,43.6,0.538,13.08,14.2,61,0.472,28.8,1.8,64.28,23.6,7.76,4.8,103.82,79.94,34.6,0.5044,84.8,0.4348,36.8,0.2826,23.8,18,0,240,106.18,23.52,11,20.6,103.4,9.16,9,0.373,31.6,11.8,50.5,45.6,0.5438,14.04,15.6,53.2,0.471,25,0,97.24,Away,MIL
201711010PHI,57.82,22.6,6.22,3.4,105.86,76.5,35.6,0.5138,84.6,0.462,39,0.2392,20.4,0.7658,15.4,3.8,240,103.94,18.94,8.2,21.4,102,9.6,9.4,0.2712,22.8,0.3706,8.6,49.4,43.8,0.5464,13.44,14.6,61.8,0.4904,30.4,1.8,66.76,25.4,6.5,4,103.94,81.06,34.6,0.5036,87.2,0.4336,37.8,0.255,22,16.2,0.4,240,105.86,23.5,11.4,20.4,104,8.7,8.6,0.3818,33.2,12.2,50.6,46,0.5382,13.58,15.2,54,0.4742,25.6,15.2,98.1,Home,PHI
201711030ATL,63.38,25.4,7.46,4,105.42,78.44,35.6,0.5222,87.2,0.4616,40.2,0.2434,21.4,0.7754,16.4,3.8,240,108.74,19.7,8.8,21.2,107.2,10.54,10.4,0.332,28.8,0.3562,10.4,49.76,44.4,0.5556,11.76,13,58.4,0.5158,29.8,3,64.2,24.4,8.26,4.4,108.74,80.3,35.6,0.5052,86.4,0.438,37.8,0.257,22,16.8,0.4,240,105.42,21.56,10.4,19.8,104,7.86,7.8,0.3762,32.4,11.6,50.24,46,0.5432,13.54,15,54,0.4866,26.2,15.2,98.52,Away,HOU
201711050CLE,61.32,25.8,7.6,4.2,107.56,79.26,35.6,0.5378,88.2,0.478,42,0.2904,25.6,0.7474,19,4.6,240,112.4,22.08,9.6,20.6,113.4,9.08,9.2,0.321,28.2,0.3656,10.4,51.6,45.2,0.5722,12.58,14.4,60,0.535,31.6,3.2,64.16,25.8,8.72,4.8,112.4,77.92,33.2,0.523,88.4,0.4536,40,0.2376,20.8,16.6,0.4,240,107.56,20.76,9.8,22.6,108.8,7.92,8,0.3768,33.2,12.2,48.4,43,0.5594,13.4,15,55.2,0.5044,27.8,15.2,101.08,Away,ATL
