,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_wins,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_wins,pace,winner,winning_abbr
201710180DAL,41.7,20.0,14.6,6.0,112.6,80.0,36.0,0.559,94.0,0.511,48.0,0.16,15.0,0.8,12.0,0.0,240.0,118.7,30.4,14.0,18.0,117.0,11.2,11.0,0.191,18.0,0.5,9.0,54.9,50.0,0.582,11.4,13.0,76.0,0.513,39.0,1.0,71.1,27.0,5.3,4.0,118.7,69.6,32.0,0.541,86.0,0.442,38.0,0.244,21.0,18.0,0.0,240.0,112.6,20.0,9.0,19.0,111.0,5.1,5.0,0.523,45.0,17.0,45.1,41.0,0.583,13.6,15.0,41.0,0.512,21.0,0.0,98.6,Away,ATL
201710200CHO,47.25,19.5,11.3,5.0,108.0,76.35,34.0,0.48750000000000004,94.5,0.445,42.0,0.1535,14.5,0.8285,12.0,0.5,240.0,102.5,21.1,10.0,23.5,104.0,10.8,11.0,0.2535,24.0,0.3665,8.0,47.45,44.0,0.516,11.4,13.0,70.5,0.47950000000000004,34.0,1.0,58.5,22.0,5.75,4.0,102.5,78.9,38.5,0.5175000000000001,86.0,0.436,37.5,0.2965,25.5,21.0,0.0,240.0,108.0,23.65,10.5,18.5,110.0,4.9,5.0,0.471,40.5,14.0,52.55,49.0,0.5660000000000001,15.55,18.0,45.5,0.516,23.5,0.0,102.0,Home,CHO
201710220BRK,53.36666666666667,20.0,8.633333333333333,4.0,108.96666666666665,74.60000000000001,33.333333333333336,0.451,94.33333333333333,0.41,38.666666666666664,0.22999999999999998,21.666666666666668,0.858,19.0,1.0,240.0,101.5,23.933333333333334,12.0,24.0,104.0,9.1,9.333333333333334,0.26466666666666666,25.0,0.33066666666666666,7.666666666666667,47.800000000000004,45.333333333333336,0.5016666666666666,11.833333333333334,14.0,69.33333333333333,0.444,31.0,1.0,60.96666666666667,23.666666666666668,7.8,5.333333333333333,101.5,76.06666666666666,38.333333333333336,0.523,86.33333333333333,0.44766666666666666,38.666666666666664,0.328,28.333333333333332,21.666666666666668,0.0,240.0,108.96666666666665,25.400000000000002,11.333333333333334,21.333333333333332,112.0,7.1000000000000005,7.333333333333333,0.41733333333333333,36.0,13.0,52.199999999999996,49.666666666666664,0.5670000000000001,15.366666666666667,18.0,50.333333333333336,0.5106666666666667,25.666666666666668,0.0,102.86666666666667,Home,BRK
201710230MIA,49.75,18.5,7.0,3.25,108.175,75.4,33.75,0.46825,89.75,0.426,38.0,0.23175,20.75,0.8380000000000001,17.75,1.5,240.0,99.775,22.0,10.5,22.25,101.25,9.125,9.25,0.2545,23.0,0.351,7.5,48.35,44.25,0.51475,13.675,15.5,66.75,0.456,30.5,1.0,59.175,23.0,8.4,5.5,99.775,78.0,36.5,0.5275000000000001,86.0,0.4505,38.75,0.299,25.75,19.25,0.0,240.0,108.175,24.6,11.0,20.75,110.0,8.375,8.5,0.42175,36.25,13.25,51.65,47.5,0.56525,15.775,18.25,49.75,0.51325,25.5,0.0,101.725,Home,MIA
201710260CHI,53.55999999999999,19.2,7.459999999999999,3.6,106.9,73.26,33.6,0.46719999999999995,88.0,0.41980000000000006,36.8,0.21739999999999998,19.2,0.8396000000000001,16.4,2.0,240.0,99.06,20.34,9.8,22.4,98.2,9.540000000000001,9.4,0.2728,24.0,0.3594,8.2,46.519999999999996,43.4,0.5109999999999999,13.0,14.4,64.0,0.44400000000000006,28.6,1.0,60.239999999999995,22.4,8.22,5.2,99.06,79.66,38.0,0.5022,86.0,0.4324,37.2,0.3066,26.4,19.8,0.0,240.0,106.9,26.74,12.4,19.6,106.2,7.82,7.8,0.41180000000000005,35.4,12.0,53.48,50.4,0.5444,14.940000000000001,17.2,50.6,0.49939999999999996,25.2,0.0,99.26,Home,CHI
201710270ATL,57.120000000000005,20.2,5.959999999999999,3.2,105.4,72.47999999999999,33.4,0.45219999999999994,87.4,0.41,35.6,0.236,20.8,0.8274000000000001,17.4,2.6,240.0,97.4,19.380000000000003,9.2,21.2,95.8,8.98,8.8,0.2786,24.4,0.2994,7.2,45.88,42.6,0.4984,12.680000000000001,14.0,63.0,0.4484,28.4,1.2,58.46,21.6,8.280000000000001,5.2,97.4,80.62,38.0,0.49280000000000007,86.6,0.4272,37.0,0.2848,24.6,18.6,0.0,240.0,105.4,27.52,12.8,20.0,104.0,8.28,8.2,0.38139999999999996,33.0,11.4,54.120000000000005,50.8,0.5338,14.48,16.6,53.6,0.47919999999999996,25.6,0.0,98.56,Away,DEN
201710290ATL,60.2,22.4,5.619999999999999,3.0,106.17999999999999,76.47999999999999,34.6,0.4936,84.6,0.44279999999999997,37.2,0.25839999999999996,22.2,0.8084,18.2,2.8,240.0,103.82000000000001,20.06,9.0,20.8,101.0,8.719999999999999,8.4,0.27959999999999996,23.6,0.35279999999999995,8.4,49.5,43.6,0.538,13.079999999999998,14.2,61.0,0.472,28.8,1.8,64.28,23.6,7.76,4.8,103.82000000000001,79.94,34.6,0.5044000000000001,84.8,0.43479999999999996,36.8,0.2826,23.8,18.0,0.0,240.0,106.17999999999999,23.52,11.0,20.6,103.4,9.16,9.0,0.373,31.6,11.8,50.5,45.6,0.5438,14.040000000000001,15.6,53.2,0.471,25.0,0.0,97.24,Away,MIL
201711010PHI,57.82000000000001,22.6,6.220000000000001,3.4,105.85999999999999,76.5,35.6,0.5138,84.6,0.462,39.0,0.2392,20.4,0.7658,15.4,3.8,240.0,103.94000000000001,18.94,8.2,21.4,102.0,9.6,9.4,0.2712,22.8,0.3706,8.6,49.4,43.8,0.5464,13.440000000000001,14.6,61.8,0.4904,30.4,1.8,66.76,25.4,6.5,4.0,103.94000000000001,81.06,34.6,0.5036,87.2,0.43360000000000004,37.8,0.255,22.0,16.2,0.4,240.0,105.85999999999999,23.5,11.4,20.4,104.0,8.7,8.6,0.38180000000000003,33.2,12.2,50.6,46.0,0.5382,13.580000000000002,15.2,54.0,0.4742,25.6,15.2,98.1,Home,PHI
201711030ATL,63.379999999999995,25.4,7.459999999999999,4.0,105.42,78.44000000000001,35.6,0.5222,87.2,0.46160000000000007,40.2,0.2434,21.4,0.7754000000000001,16.4,3.8,240.0,108.73999999999998,19.7,8.8,21.2,107.2,10.540000000000001,10.4,0.332,28.8,0.3562,10.4,49.760000000000005,44.4,0.5555999999999999,11.76,13.0,58.4,0.5157999999999999,29.8,3.0,64.2,24.4,8.26,4.4,108.73999999999998,80.3,35.6,0.5052000000000001,86.4,0.438,37.8,0.257,22.0,16.8,0.4,240.0,105.42,21.560000000000002,10.4,19.8,104.0,7.859999999999999,7.8,0.3762,32.4,11.6,50.239999999999995,46.0,0.5431999999999999,13.540000000000001,15.0,54.0,0.4866,26.2,15.2,98.52000000000001,Away,HOU
201711050CLE,61.32000000000001,25.8,7.6,4.2,107.55999999999999,79.25999999999999,35.6,0.5378000000000001,88.2,0.47800000000000004,42.0,0.2904,25.6,0.7474000000000001,19.0,4.6,240.0,112.4,22.080000000000002,9.6,20.6,113.4,9.08,9.2,0.321,28.2,0.36560000000000004,10.4,51.6,45.2,0.5722,12.580000000000002,14.4,60.0,0.5349999999999999,31.6,3.2,64.16,25.8,8.719999999999999,4.8,112.4,77.92,33.2,0.5229999999999999,88.4,0.45360000000000006,40.0,0.23759999999999998,20.8,16.6,0.4,240.0,107.55999999999999,20.759999999999998,9.8,22.6,108.8,7.919999999999999,8.0,0.37679999999999997,33.2,12.2,48.4,43.0,0.5594,13.4,15.0,55.2,0.5044,27.8,15.2,101.08,Away,ATL
