,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_wins,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_wins,pace,winner,winning_abbr
201810170NYK,46.3,19.0,4.5,3.0,111.0,79.2,38.0,0.511,90.0,0.456,41.0,0.2,18.0,0.833,15.0,1.0,240.0,94.3,16.3,7.0,30.0,107.0,6.2,7.0,0.4,36.0,0.278,10.0,49.5,45.0,0.546,19.7,24.0,54.0,0.574,31.0,0.0,46.7,21.0,11.1,6.0,94.3,83.7,36.0,0.515,99.0,0.455,45.0,0.313,31.0,24.0,0.0,240.0,111.0,20.8,10.0,23.0,126.0,10.6,12.0,0.333,33.0,0.364,12.0,50.5,46.0,0.559,11.8,15.0,66.0,0.5,33.0,0.0,113.5,Home,NYK
201810190MEM,56.1,23.0,6.8,4.0,117.3,79.9,33.5,0.5445,86.5,0.475,41.0,0.317,27.0,0.708,18.0,1.5,240.0,102.35,20.35,9.0,30.5,112.0,7.35,8.0,0.3805,33.0,0.37250000000000005,12.0,49.45,42.5,0.569,17.9,21.5,53.5,0.5415,29.0,0.0,59.7,26.5,9.3,5.0,102.35,79.65,35.0,0.569,90.0,0.499,44.5,0.42200000000000004,37.0,27.0,0.0,240.0,117.3,20.1,8.5,26.0,128.5,9.55,10.5,0.327,29.5,0.432,12.5,50.55,43.5,0.6075,12.8,15.5,60.5,0.532,32.0,0.0,109.75,Home,MEM
201810210CLE,59.63333333333333,26.0,7.766666666666666,5.0,113.10000000000001,76.60000000000001,34.0,0.5636666666666666,90.33333333333333,0.48,43.333333333333336,0.276,24.333333333333332,0.735,17.0,1.6666666666666667,240.0,110.06666666666666,20.53333333333333,9.0,27.333333333333332,119.0,7.733333333333333,8.333333333333334,0.4136666666666667,37.666666666666664,0.4043333333333334,15.333333333333334,48.73333333333333,43.0,0.5876666666666667,15.299999999999999,18.333333333333332,52.666666666666664,0.531,28.0,0.3333333333333333,56.46666666666667,25.333333333333332,7.5,4.0,110.06666666666666,79.46666666666665,34.666666666666664,0.551,93.0,0.4876666666666667,45.0,0.3283333333333333,29.333333333333332,21.0,0.0,240.0,113.10000000000001,23.400000000000002,10.666666666666666,25.666666666666668,122.66666666666667,7.933333333333334,8.666666666666666,0.309,28.666666666666668,0.41133333333333333,11.666666666666666,51.26666666666667,45.333333333333336,0.5810000000000001,13.4,16.333333333333332,64.33333333333333,0.5213333333333333,33.333333333333336,0.0,108.5,Away,ATL
201810240ATL,61.175,25.75,10.075,6.0,110.5,77.725,36.25,0.54375,90.5,0.4645,42.0,0.27849999999999997,24.75,0.705,16.75,1.75,240.0,106.6,19.65,9.0,27.25,115.25,7.425,8.0,0.42025,38.25,0.37825000000000003,14.5,48.825,45.25,0.56775,15.025,18.0,52.25,0.5257499999999999,27.5,0.75,61.275000000000006,26.0,8.575,4.5,106.6,80.35,37.0,0.5355,92.5,0.4675,43.0,0.3315,29.75,21.25,0.0,240.0,110.5,22.275,10.5,25.75,119.75,7.325,8.0,0.33625,31.0,0.40725,12.5,51.175,47.5,0.56825,13.175,16.0,61.5,0.49474999999999997,30.5,0.0,108.4,Home,ATL
201810270ATL,62.82000000000001,25.6,10.78,6.0,105.12,78.17999999999999,37.8,0.5362,89.0,0.4584,40.8,0.26139999999999997,23.0,0.7266,16.0,2.2,240.0,104.34,19.28,8.8,26.0,111.6,8.7,9.2,0.41580000000000006,37.2,0.3754,14.0,49.46,46.6,0.562,15.66,18.4,51.8,0.5166000000000001,26.8,1.0,63.839999999999996,24.8,10.059999999999999,5.2,104.34,80.72,37.0,0.507,90.8,0.43820000000000003,39.8,0.32,28.4,20.8,0.0,240.0,105.12,21.82,10.6,23.2,112.8,7.62,8.2,0.36419999999999997,32.8,0.38580000000000003,12.4,50.54,47.6,0.545,14.319999999999999,17.2,58.0,0.46399999999999997,27.4,0.0,107.05999999999999,Away,CHI
201810290PHI,64.97999999999999,25.8,11.04,6.0,104.34,76.3,37.6,0.517,89.8,0.44160000000000005,39.6,0.266,23.6,0.6933999999999999,15.8,2.8,240.0,102.92,19.46,9.4,23.6,108.6,9.36,9.8,0.41459999999999997,37.4,0.363,13.6,48.019999999999996,47.0,0.542,13.959999999999999,16.2,52.4,0.49660000000000004,26.0,1.4,70.6,27.2,11.0,5.8,102.92,80.53999999999999,39.4,0.501,90.8,0.43,39.0,0.2938,25.8,19.4,0.4,240.0,104.34,23.7,11.8,23.0,110.2,6.82,7.2,0.3926,35.6,0.3726,12.8,51.98,51.2,0.5388,14.98,18.0,55.2,0.4678,26.2,15.2,105.46,Home,PHI
201810300CLE,63.160000000000004,25.4,11.679999999999998,6.6,105.33999999999999,74.52,38.4,0.5269999999999999,89.6,0.45020000000000004,40.2,0.2206,19.8,0.7062,13.8,3.4,240.0,102.4,17.5,8.4,23.2,108.0,8.8,9.2,0.42779999999999996,38.4,0.3554,13.8,47.1,46.8,0.5509999999999999,14.680000000000001,16.8,51.2,0.5182,26.4,1.8,66.28,25.4,9.92,5.2,102.4,82.5,39.6,0.4908,92.6,0.42140000000000005,39.2,0.2832,25.8,20.0,0.4,240.0,105.33999999999999,25.479999999999997,13.0,21.2,111.2,7.58,8.0,0.384,35.4,0.3766,12.8,52.9,52.6,0.5324000000000001,14.36,17.4,57.2,0.45339999999999997,26.4,15.2,105.4,Home,CLE
201811010ATL,64.16,26.6,10.82,5.8,104.78,76.17999999999999,38.6,0.529,89.6,0.46040000000000003,41.2,0.2472,22.4,0.711,16.0,3.6,240.0,103.18000000000002,17.98,8.6,24.8,110.6,9.58,10.2,0.4032,36.0,0.3418,12.2,47.980000000000004,47.2,0.5562,14.879999999999999,17.2,53.6,0.54,29.0,2.8,68.66,26.0,11.040000000000001,6.0,103.18000000000002,82.02000000000001,39.4,0.4936,90.2,0.425,38.4,0.3332,29.8,22.8,0.4,240.0,104.78,23.82,12.0,21.8,112.0,7.700000000000001,8.2,0.4006,36.2,0.35419999999999996,12.4,52.02,51.4,0.5396000000000001,14.98,18.2,54.0,0.47479999999999994,26.0,15.2,106.78,Away,SAC
201811030ATL,64.17999999999999,27.0,9.559999999999999,5.2,108.72,75.52000000000001,35.6,0.5474,88.4,0.4732,41.8,0.2512,22.4,0.7418,16.8,4.2,240.0,107.42,20.78,9.4,23.4,113.4,9.48,10.0,0.40939999999999993,36.0,0.3618,13.0,48.68,45.0,0.5770000000000001,15.039999999999997,17.2,52.4,0.5492,28.8,3.0,67.85999999999999,27.0,11.8,6.2,107.42,79.22,36.4,0.5152,89.6,0.44820000000000004,40.2,0.3172,28.2,22.0,0.4,240.0,108.72,24.48,11.6,20.8,114.4,8.780000000000001,9.2,0.38980000000000004,35.0,0.3564,12.0,51.32000000000001,48.0,0.5589999999999999,15.280000000000001,18.4,54.6,0.5096,28.2,15.2,105.25999999999999,Home,ATL
201811060CHO,61.040000000000006,26.4,9.8,5.8,112.91999999999999,75.3,32.8,0.5498,88.8,0.4828,42.8,0.255,22.8,0.7348,17.0,4.8,240.0,107.26000000000002,20.56,9.2,22.8,114.4,9.120000000000001,9.8,0.4004,35.4,0.329,11.8,47.54,42.0,0.579,15.219999999999999,17.6,53.4,0.5804,31.0,3.2,65.04,28.4,10.06,5.4,107.26000000000002,79.44,36.0,0.5486,91.2,0.48179999999999995,43.8,0.3016,27.2,20.2,0.4,240.0,112.91999999999999,24.7,11.0,21.4,120.0,8.680000000000001,9.2,0.362,33.2,0.3802,12.2,52.480000000000004,47.0,0.5816,14.98,18.2,58.0,0.5464,31.6,15.2,106.52000000000001,Home,CHO
